Datum;Tmin;Tmit;Tmax;Sges;Rges;Tbod;RFmin;RFmit;RFmax;Wmit;WBmax
16.10.2013;8,2;10,1;12,7;0,3;0,4;7,8;85;93,5;100;6;30
17.10.2013;6,9;12;15,6;1;2,3;4,4;81;92,8;100;8;50
18.10.2013;6,7;11,5;17,3;4,4;0;4,2;67;92,8;100;4;28
19.10.2013;10,1;14,6;20,3;5,9;0,1;7,2;70;80,9;89;11;41
20.10.2013;12;15,3;19,3;1;0,9;9,3;76;89,4;100;7;26
21.10.2013;11,3;14,9;18,9;1,3;0;9,1;72;86,8;97;8;31
22.10.2013;14,2;17,5;23,1;7;12;12,8;65;83,6;100;11;46
23.10.2013;14,2;16,5;20,9;3;1,4;12,6;62;85,4;100;12;46
24.10.2013;8,7;12,4;17,6;8;0;6,8;67;90,9;100;4;17
25.10.2013;10,5;14,5;17,2;0;10,1;9;84;92,2;100;10;35
26.10.2013;13,8;16,6;21,9;3,2;0;12,1;63;88,6;100;7;33
27.10.2013;12,4;15,3;18,1;1,6;5,7;10,8;64;74,9;87;15;70
28.10.2013;10,9;14,5;17,8;1,4;1;9,8;65;75,2;97;18;78
29.10.2013;7,2;10,7;14,4;2,4;0,2;5,5;64;77,1;90;11;44
30.10.2013;4,1;7,9;13;7,5;0;1,6;65;85,5;100;6;33
31.10.2013;3,9;8,5;14,7;7,7;0;1,5;56;81,8;100;9;28
01.11.2013;7,9;10,1;11,3;0;9,1;7,9;76;91,7;100;10;30
02.11.2013;7,9;11;13,5;0;4,7;7,9;85;97;100;9;46
03.11.2013;7,5;9,2;11,2;3,7;2,7;6,7;70;81,1;96;14;50
04.11.2013;6,1;9,2;14,6;0,3;3,7;4,6;73;89;97;14;50
05.11.2013;4,1;6,6;9,1;2,3;6,7;1,8;72;91,5;100;11;41
06.11.2013;7,5;10;14,6;0;3,7;6,5;81;91,5;100;10;43
07.11.2013;9,9;12,5;14,8;0;17,2;9,5;82;94;100;9;48
08.11.2013;7,9;10,1;11,7;0;2,4;6,6;92;97,8;100;6;33
09.11.2013;7,3;9,2;11,5;4,2;1,6;5,8;64;79;91;13;44
10.11.2013;3,9;6,5;7,9;1,4;0,1;1,5;77;89,4;98;10;33
11.11.2013;-0,7;4,4;9,5;6;0;-2,6;81;93;100;7;28
12.11.2013;4;6,3;8,6;0,3;1,3;2,5;72;90;100;9;30
13.11.2013;1,3;4,8;9,3;1,3;0;-0,9;95;99,7;100;4;20
14.11.2013;1,8;4,2;5,9;0,6;0,9;0,7;90;98,7;100;6;20
15.11.2013;0,4;5,8;10,9;3,1;0;-2,4;73;93,4;100;5;28
16.11.2013;-1,4;1;4,3;3;0;-2,8;90;99;100;3;19
17.11.2013;1;3,3;6,4;0,1;0;0,4;90;96,6;100;3;13
18.11.2013;4;4,8;5,8;0;0;3,8;85;91,1;98;6;19
19.11.2013;4;5,2;6,4;0;0,8;3,8;82;92,5;100;7;33
20.11.2013;0,6;3,9;5,9;4,7;0,8;-1,2;73;86,9;100;10;37
21.11.2013;1,9;3,9;6;0;0,7;1,4;75;82,4;95;11;33
22.11.2013;2,1;3,6;5;0;0;1,6;84;88,2;94;12;39
23.11.2013;2,4;5,2;6,3;0;0;0,4;88;91;94;10;30
24.11.2013;0,4;3,8;7,1;0;1,1;-2,4;81;94,6;100;7;33
25.11.2013;-1,3;3,6;5,9;0;0,3;-4,2;85;90,7;97;9;37
26.11.2013;-3,1;-0,1;1,9;0,8;0;-5,6;97;99,8;100;4;15
